flow,history_flow,speed,history_speed,weather,weatherDeg,weatherDegScale
280,216.3,320.3333333,312.6333333,0,0,0
243,206.5666667,340,306.0555556,0,0,0
247,198.7666667,332.1666667,306.4111111,0,0,0
219,194.4,334.3333333,313.9805556,0,0,0
206,182.1833333,323.3333333,315.4305556,0,0,0
203,171.1,330.3333333,314.0555556,0,0,0
215,166.5,330,314.4777778,0,0,0
192,153.5333333,325.1666667,313.7916667,0,0,0
192,158.5944444,322.6666667,304.5740741,0,0,0
175,147.9388889,333,299.6898148,0,0,0
159,145.2,331.5,301.6222222,0,0,0
202,138.2333333,322.6666667,305.0944444,0,0,0
178,135.5,314.1666667,309.0055556,0,0,0
177,132.1,313.5,308.3555556,0,0,0
174,132.3,313,305.7333333,0,0,0
150,124.4,320,305.3833333,0,0,0
167,126.9666667,306.3333333,310.4555556,0,0,0
133,119.3833333,301,305.7722222,0,0,0
155,121.6333333,310.8333333,300.2277778,0,0,0
127,120.6166667,308.6666667,303.2138889,0,0,0
139,124.4,295.5,305.2833333,0,0,0
165,128.7833333,304.5,312.7611111,0,0,0
142,129,307.3333333,318.4611111,0,0,0
131,125.3166667,316.8333333,317.6861111,0,0,0
171,133.5,316.1666667,316.6,0,0,0
169,151.7,315.3333333,313.5833333,0,0,0
162,153.9166667,321.8333333,315.8833333,0,0,0
207,171.2333333,331.8333333,317.3777778,0,0,0
206,186.1,327.5,316.3833333,0,0,0
242,201.8333333,316.1666667,314.5555556,0,0,0
213,220.8666667,299.1666667,316.3944444,0,0,0
265,243.3833333,294.6666667,317.0055556,0,0,0
354,278.3,302.75,315.1972222,0,0,0
336,320.9666667,306.1666667,318.1055556,0,0,0
406,350.9333333,311,315.5416667,0,0,0
436,387.7,311.3333333,314.7388889,0,0,0
463,431.4,325.8333333,314.7,0,0,0
467,491.2,325.5,315.6,0,0,0
581,559.6333333,321.5,314.9277778,0,0,0
593,640.2166667,308.1666667,318.0166667,0,0,0
668,715.35,317.6666667,318.1777778,0,0,0
749,808,314.1666667,320.7222222,0,0,0
734,913.5666667,328,316.5777778,0,0,0
860,978.4666667,309.1666667,313.725,0,0,0
929,1039.433333,319.5,313.5111111,0,0,0
983,1084.116667,315,312.025,0,0,0
995,1096.933333,315.3333333,312.3333333,0,0,0
989,1120.533333,315,312.6722222,0,0,0
1013,1142.966667,316.6666667,313.5611111,0,0,0
1210,1168.883333,310,314.7083333,0,0,0
1084,1174.366667,318.1666667,314.1777778,0,0,0
1132,1182.683333,306.8333333,311.7,0,0,0
1265,1209.5,309.1666667,313.3833333,0,0,0
1213,1192.433333,300,314.6222222,0,0,0
1189,1208.616667,304.8333333,317.1194444,0,0,0
1322,1213.016667,303.8333333,316.275,0,0,0
1255,1219.333333,313.6666667,316.9888889,0,0,0
1337,1226.166667,316.1666667,312.3555556,0,0,0
1298,1229.35,306.5,315.9388889,0,0,0
1290,1208.833333,317.1666667,316.9944444,0,0,0
1207,1197.9,315.6666667,320.7277778,0,0,0
1141,1188.233333,339.8333333,318.6777778,0,0,0
1192,1170.633333,339.6666667,318.9111111,0,0,0
1123,1164.366667,330,315.7138889,0,0,0
1167,1150.133333,326,313.5277778,0,0,0
1144,1120.133333,327,318.5055556,0,0,0
1163,1115.233333,319.6666667,315.4222222,0,0,0
1169,1107.8,326.6666667,314.5166667,0,0,0
1143,1085.333333,327.1666667,311.4666667,0,0,0
1108,1063.966667,324.6666667,314.8194444,0,0,0
1109,1010.7,325.6666667,312.8277778,0,0,0
1069,988.3166667,325.1666667,311.0361111,0,0,0
993,966.2333333,322.8333333,317.1,0,0,0
1134,967.7333333,306.3333333,314.4083333,0,0,0
1003,970.9666667,312.5,315.1138889,0,0,0
923,942.9166667,322.8333333,317.3833333,0,0,0
918,952.4166667,313.1666667,316.2638889,0,0,0
924,944.9333333,318.8333333,320.8277778,0,0,0
930,979.9166667,325.6666667,318.2833333,0,0,0
944,1003.166667,322.8333333,318.3722222,0,0,0
996,1012.7,314.8333333,312.2166667,0,0,0
935,1032.8,316.6666667,305.55,0,0,0
962,1051.766667,315.6666667,311.9,0,0,0
1059,1065.3,313.3333333,314.4166667,0,0,0
938,1070.283333,304.1666667,312.4638889,0,0,0
1027,1094.4,326.6666667,306.3277778,0,0,0
1058,1108.466667,315.5,303.8277778,0,0,0
1053,1094.966667,314.1666667,302.3694444,0,0,0
1087,1101.066667,313.1666667,304.3833333,0,0,0
1005,1100.033333,302.1666667,302.6055556,0,0,0
1047,1120.133333,318.1666667,302.95,0,0,0
1088,1108.933333,307.1666667,308.7111111,0,0,0
1052,1115.866667,304,304.3388889,0,0,0
1137,1112.866667,319.3333333,300.7944444,0,0,0
1054,1110.766667,290.6666667,307.4888889,0,0,0
1116,1112.05,298.6666667,313.1694444,0,0,0
1059,1107.033333,302.3333333,311.0805556,0,0,0
1153,1128.833333,290.8333333,310.6444444,0,0,0
1053,1124.616667,275.6666667,312.6055556,0,0,0
1142,1122.666667,273.5,310.5166667,0,0,0
1078,1140.433333,271.6666667,310.6277778,0,0,0
1180,1138.266667,266.6666667,316.8444444,0,0,0
1167,1150.5,264.6666667,315.2777778,0,0,0
1111,1153.533333,266.8333333,314.5,0,0,0
1196,1144.533333,265,315.4722222,0,0,0
1082,1124.2,259.6666667,316.4388889,0,0,0
1131,1139.266667,255,312.0388889,0,0,0
1088,1130.333333,260.6666667,312.9222222,0,0,0
1050,1121.5,274.3333333,313.6222222,0,0,0
955,1099.816667,298.8333333,312.6555556,0,0,0
1046,1082,302.1666667,314.1388889,0,0,0
1027,1042.766667,201.5,309.7333333,0,0,0
1003,1018.766667,249.6666667,310.2166667,0,0,0
899,958.2,283.3333333,311.1111111,0,0,0
875,927.3666667,306.8333333,309.5888889,0,0,0
901,891.7,299.1666667,308.7111111,0,0,0
844,868.8666667,302.5,310.7222222,0,0,0
834,848.0166667,309.5,307.2111111,0,0,0
793,799.4,310.1666667,313.9,0,0,0
700,741.6666667,309.5,317.9333333,0,0,0
678,710.5,313,322.4888889,0,0,0
705,694.3,300,319.7722222,0,0,0
629,677.4,296.3333333,320.2611111,0,0,0
614,635.55,321.5,323.8694444,0,0,0
633,626.4333333,316.5,321.7222222,0,0,0
582,591.75,301.1666667,318.45,0,0,0
543,558.2333333,302.6666667,318.0833333,0,0,0
558,550.9,330.6666667,320.9833333,0,0,0
